2025-01-13 19:30:27,879 - INFO - Validation Loss: 3.1220, Validation Accuracy: 49.46%, Precision: 0.46, Recall: 0.49, F1: 0.47
2025-01-13 19:30:47,463 - INFO - Validation Loss: 3.4203, Validation Accuracy: 47.65%, Precision: 0.45, Recall: 0.48, F1: 0.46
2025-01-13 19:31:07,346 - INFO - Validation Loss: 3.7280, Validation Accuracy: 48.83%, Precision: 0.44, Recall: 0.49, F1: 0.46
2025-01-13 19:31:27,271 - INFO - Validation Loss: 4.1033, Validation Accuracy: 47.83%, Precision: 0.45, Recall: 0.48, F1: 0.46
2025-01-13 19:31:46,952 - INFO - Validation Loss: 3.6705, Validation Accuracy: 48.74%, Precision: 0.45, Recall: 0.49, F1: 0.46
2025-01-13 19:32:06,487 - INFO - Validation Loss: 2.7787, Validation Accuracy: 50.00%, Precision: 0.46, Recall: 0.50, F1: 0.47
2025-01-13 19:32:26,575 - INFO - Validation Loss: 2.1252, Validation Accuracy: 51.53%, Precision: 0.48, Recall: 0.52, F1: 0.49
2025-01-13 19:32:46,471 - INFO - Validation Loss: 2.9333, Validation Accuracy: 48.56%, Precision: 0.46, Recall: 0.49, F1: 0.47
2025-01-13 19:33:06,342 - INFO - Validation Loss: 3.8284, Validation Accuracy: 48.92%, Precision: 0.46, Recall: 0.49, F1: 0.47
2025-01-13 19:33:26,272 - INFO - Validation Loss: 2.2896, Validation Accuracy: 49.10%, Precision: 0.43, Recall: 0.49, F1: 0.45
2025-01-13 19:33:45,959 - INFO - Validation Loss: 2.7565, Validation Accuracy: 50.54%, Precision: 0.46, Recall: 0.51, F1: 0.47
2025-01-13 19:34:05,743 - INFO - Validation Loss: 2.6324, Validation Accuracy: 50.00%, Precision: 0.46, Recall: 0.50, F1: 0.47
2025-01-13 19:34:25,634 - INFO - Validation Loss: 3.0785, Validation Accuracy: 48.83%, Precision: 0.45, Recall: 0.49, F1: 0.46
2025-01-13 19:34:45,366 - INFO - Validation Loss: 3.4801, Validation Accuracy: 50.45%, Precision: 0.46, Recall: 0.50, F1: 0.47
2025-01-13 19:35:05,151 - INFO - Validation Loss: 3.4300, Validation Accuracy: 46.93%, Precision: 0.47, Recall: 0.47, F1: 0.46
2025-01-13 19:35:25,016 - INFO - Validation Loss: 3.6995, Validation Accuracy: 51.17%, Precision: 0.47, Recall: 0.51, F1: 0.48
2025-01-13 19:35:45,020 - INFO - Validation Loss: 3.7866, Validation Accuracy: 51.08%, Precision: 0.48, Recall: 0.51, F1: 0.49
2025-01-13 19:36:04,783 - INFO - Validation Loss: 2.8480, Validation Accuracy: 50.81%, Precision: 0.47, Recall: 0.51, F1: 0.48
2025-01-13 19:36:24,645 - INFO - Validation Loss: 3.7648, Validation Accuracy: 50.18%, Precision: 0.49, Recall: 0.50, F1: 0.49
2025-01-13 19:36:44,455 - INFO - Validation Loss: 3.5269, Validation Accuracy: 48.10%, Precision: 0.46, Recall: 0.48, F1: 0.47
2025-01-13 19:37:04,353 - INFO - Validation Loss: 3.9201, Validation Accuracy: 48.74%, Precision: 0.45, Recall: 0.49, F1: 0.46
2025-01-13 19:37:24,597 - INFO - Validation Loss: 3.4133, Validation Accuracy: 50.72%, Precision: 0.47, Recall: 0.51, F1: 0.48
2025-01-13 19:37:44,466 - INFO - Validation Loss: 2.7013, Validation Accuracy: 49.64%, Precision: 0.46, Recall: 0.50, F1: 0.47
2025-01-13 19:38:04,460 - INFO - Validation Loss: 3.3846, Validation Accuracy: 50.99%, Precision: 0.47, Recall: 0.51, F1: 0.48
2025-01-13 19:38:24,474 - INFO - Validation Loss: 3.4863, Validation Accuracy: 48.56%, Precision: 0.46, Recall: 0.49, F1: 0.46
2025-01-13 19:38:44,395 - INFO - Validation Loss: 4.0770, Validation Accuracy: 50.36%, Precision: 0.46, Recall: 0.50, F1: 0.48
2025-01-13 19:39:04,234 - INFO - Validation Loss: 3.4347, Validation Accuracy: 50.90%, Precision: 0.47, Recall: 0.51, F1: 0.49
